model,fold,system,pair_id,construct_i,construct_j,true_direction,predicted_direction,probability_i_gt_j,probability_j_gt_i,pairwise_margin,correct,literature_prior_logit,unordered_pair_counted_once
M1_LITERATURE_PRIOR,GP-PGM,GP-PGM,GPPGM_PAIR_02,GPTRC_T01,GPTRC_T03,-1,-1,0.27268943586609873,0.7273105641339013,0.45462112826780254,True,-0.9810200221248018,True
M1_LITERATURE_PRIOR,GP-PGM,GP-PGM,GPPGM_PAIR_03,GPTRC_T01,GPTRC_T04,1,-1,0.19454929575397722,0.8054507042460228,0.6109014084920456,False,-1.420716422242209,True
M1_LITERATURE_PRIOR,GP-PGM,GP-PGM,GPPGM_PAIR_04,GPTRC_T02,GPTRC_T03,-1,-1,0.36787972780670253,0.6321202721932975,0.26424054438659494,True,-0.5413236220073945,True
M1_LITERATURE_PRIOR,GP-PGM,GP-PGM,GPPGM_PAIR_05,GPTRC_T02,GPTRC_T04,1,-1,0.27268943586609873,0.7273105641339013,0.45462112826780254,False,-0.9810200221248018,True
M1_LITERATURE_PRIOR,GP-PGM,GP-PGM,GPPGM_PAIR_06,GPTRC_T03,GPTRC_T04,1,-1,0.39181331340533504,0.608186686594665,0.21637337318932992,False,-0.4396964001174073,True
M2_PRIOR_PLUS_PSCI,GP-PGM,GP-PGM,GPPGM_PAIR_01,GPTRC_T01,GPTRC_T02,1,1,0.915873886659337,0.084126113340663,0.831747773318674,True,-0.4396964001174073,True
M2_PRIOR_PLUS_PSCI,GP-PGM,GP-PGM,GPPGM_PAIR_02,GPTRC_T01,GPTRC_T03,-1,1,0.9815028672756397,0.018497132724360266,0.9630057345512795,False,-0.9810200221248018,True
M2_PRIOR_PLUS_PSCI,GP-PGM,GP-PGM,GPPGM_PAIR_03,GPTRC_T01,GPTRC_T04,1,1,0.999585993541755,0.0004140064582449643,0.9991719870835101,True,-1.420716422242209,True
M2_PRIOR_PLUS_PSCI,GP-PGM,GP-PGM,GPPGM_PAIR_04,GPTRC_T02,GPTRC_T03,-1,1,0.8297572104118089,0.17024278958819106,0.6595144208236179,False,-0.5413236220073945,True
M2_PRIOR_PLUS_PSCI,GP-PGM,GP-PGM,GPPGM_PAIR_05,GPTRC_T02,GPTRC_T04,1,1,0.9955111207665566,0.004488879233443432,0.9910222415331131,True,-0.9810200221248018,True
M2_PRIOR_PLUS_PSCI,GP-PGM,GP-PGM,GPPGM_PAIR_06,GPTRC_T03,GPTRC_T04,1,1,0.9784953257127703,0.021504674287229686,0.9569906514255406,True,-0.4396964001174073,True
M3_SYSTEM_CONDITIONED_PSCI,GP-PGM,GP-PGM,GPPGM_PAIR_01,GPTRC_T01,GPTRC_T02,1,1,0.973993382186053,0.026006617813946975,0.947986764372106,True,-0.4396964001174073,True
M3_SYSTEM_CONDITIONED_PSCI,GP-PGM,GP-PGM,GPPGM_PAIR_02,GPTRC_T01,GPTRC_T03,-1,1,0.9920671974421774,0.007932802557822582,0.9841343948843548,False,-0.9810200221248018,True
M3_SYSTEM_CONDITIONED_PSCI,GP-PGM,GP-PGM,GPPGM_PAIR_03,GPTRC_T01,GPTRC_T04,1,1,0.9999887958844043,1.1204115595742081e-05,0.9999775917688085,True,-1.420716422242209,True
M3_SYSTEM_CONDITIONED_PSCI,GP-PGM,GP-PGM,GPPGM_PAIR_04,GPTRC_T02,GPTRC_T03,-1,1,0.7695427248894635,0.23045727511053649,0.539085449778927,False,-0.5413236220073945,True
M3_SYSTEM_CONDITIONED_PSCI,GP-PGM,GP-PGM,GPPGM_PAIR_05,GPTRC_T02,GPTRC_T04,1,1,0.9995805575536559,0.0004194424463440649,0.9991611151073119,True,-0.9810200221248018,True
M3_SYSTEM_CONDITIONED_PSCI,GP-PGM,GP-PGM,GPPGM_PAIR_06,GPTRC_T03,GPTRC_T04,1,1,0.9986007710286738,0.0013992289713261608,0.9972015420573477,True,-0.4396964001174073,True
M0_GLOBAL_PSCI_PAIRWISE,RHLA-RHLB,RHLA-RHLB,RHLARHLB_PAIR_01,RHLARHLB_T01,RHLARHLB_T02,-1,-1,0.3107934388255673,0.6892065611744327,0.37841312234886537,True,-0.4396964001174073,True
M0_GLOBAL_PSCI_PAIRWISE,RHLA-RHLB,RHLA-RHLB,RHLARHLB_PAIR_02,RHLARHLB_T01,RHLARHLB_T03,1,1,0.9712151867989314,0.028784813201068626,0.9424303735978627,True,-0.9810200221248018,True
M0_GLOBAL_PSCI_PAIRWISE,RHLA-RHLB,RHLA-RHLB,RHLARHLB_PAIR_03,RHLARHLB_T01,RHLARHLB_T04,1,1,0.9977947237791917,0.00220527622080835,0.9955894475583833,True,-1.420716422242209,True
M0_GLOBAL_PSCI_PAIRWISE,RHLA-RHLB,RHLA-RHLB,RHLARHLB_PAIR_04,RHLARHLB_T02,RHLARHLB_T03,1,1,0.9868112246731657,0.013188775326834268,0.9736224493463315,True,-0.5413236220073945,True
M0_GLOBAL_PSCI_PAIRWISE,RHLA-RHLB,RHLA-RHLB,RHLARHLB_PAIR_05,RHLARHLB_T02,RHLARHLB_T04,1,1,0.9990043387517898,0.0009956612482101557,0.9980086775035797,True,-0.9810200221248018,True
M0_GLOBAL_PSCI_PAIRWISE,RHLA-RHLB,RHLA-RHLB,RHLARHLB_PAIR_06,RHLARHLB_T03,RHLARHLB_T04,1,1,0.9306033579977425,0.06939664200225748,0.861206715995485,True,-0.4396964001174073,True
M1_LITERATURE_PRIOR,RHLA-RHLB,RHLA-RHLB,RHLARHLB_PAIR_01,RHLARHLB_T01,RHLARHLB_T02,-1,-1,0.39181331340533504,0.608186686594665,0.21637337318932992,True,-0.4396964001174073,True
M1_LITERATURE_PRIOR,RHLA-RHLB,RHLA-RHLB,RHLARHLB_PAIR_02,RHLARHLB_T01,RHLARHLB_T03,1,-1,0.27268943586609873,0.7273105641339013,0.45462112826780254,False,-0.9810200221248018,True
