model,system,construct,predicted_win_probability,predicted_rank,observed_rank,observed_rank_score,is_predicted_top1,top1_correct,is_predicted_top2,top2_set_correct
M2_PRIOR_PLUS_PSCI,RHLA-RHLB,RHLARHLB_T01,0.8182402682782822,2,2,3.0,False,False,True,True
M2_PRIOR_PLUS_PSCI,RHLA-RHLB,RHLARHLB_T03,0.3318487783841763,3,3,2.0,False,False,False,False
M2_PRIOR_PLUS_PSCI,RHLA-RHLB,RHLARHLB_T04,0.0296575474597975,4,4,1.0,False,False,False,False
M3_RANK2_SENSITIVITY,D-PA,DPA_T03,0.9698673107187084,1,2,3.0,True,False,True,True
M3_RANK2_SENSITIVITY,D-PA,DPA_T01,0.5896519287469064,2,1,4.0,False,False,True,True
M3_RANK2_SENSITIVITY,D-PA,DPA_T04,0.4239189888051236,3,4,1.0,False,False,False,False
M3_RANK2_SENSITIVITY,D-PA,DPA_T02,0.016561771729261567,4,3,2.0,False,False,False,False
M3_RANK2_SENSITIVITY,GI-DAE,GIDAE_T02,0.9862637937416125,1,3,2.0,True,False,True,False
M3_RANK2_SENSITIVITY,GI-DAE,GIDAE_T03,0.6105508850482811,2,1,4.0,False,False,True,False
M3_RANK2_SENSITIVITY,GI-DAE,GIDAE_T01,0.34657302737964574,3,2,3.0,False,False,False,False
M3_RANK2_SENSITIVITY,GI-DAE,GIDAE_T04,0.05661229383046048,4,4,1.0,False,False,False,False
M3_RANK2_SENSITIVITY,GP-PGM,GPTRC_T01,0.9827761563278763,1,2,3.0,True,False,True,False
M3_RANK2_SENSITIVITY,GP-PGM,GPTRC_T02,0.5874390412092781,2,3,2.0,False,False,True,False
M3_RANK2_SENSITIVITY,GP-PGM,GPTRC_T03,0.42266667615194126,3,1,4.0,False,False,False,False
M3_RANK2_SENSITIVITY,GP-PGM,GPTRC_T04,0.007118126310904138,4,4,1.0,False,False,False,False
M3_RANK2_SENSITIVITY,RHLA-RHLB,RHLARHLB_T03,0.9979597436728236,1,3,2.0,True,False,True,False
M3_RANK2_SENSITIVITY,RHLA-RHLB,RHLARHLB_T02,0.48193995233281645,2,1,4.0,False,False,True,False
M3_RANK2_SENSITIVITY,RHLA-RHLB,RHLARHLB_T01,0.30003390185135936,3,2,3.0,False,False,False,False
M3_RANK2_SENSITIVITY,RHLA-RHLB,RHLARHLB_T04,0.22006640214300063,4,4,1.0,False,False,False,False
M3_RANKREG_SENSITIVITY,D-PA,DPA_T03,0.9915474853741353,1,2,3.0,True,False,True,False
M3_RANKREG_SENSITIVITY,D-PA,DPA_T04,0.5120558096386815,2,4,1.0,False,False,True,False
M3_RANKREG_SENSITIVITY,D-PA,DPA_T01,0.4959440087852956,3,1,4.0,False,False,False,False
M3_RANKREG_SENSITIVITY,D-PA,DPA_T02,0.0004526962018874857,4,3,2.0,False,False,False,False
M3_RANKREG_SENSITIVITY,GI-DAE,GIDAE_T04,0.9434942983572846,1,4,1.0,True,False,True,False
M3_RANKREG_SENSITIVITY,GI-DAE,GIDAE_T01,0.63400230873339,2,2,3.0,False,False,True,False
M3_RANKREG_SENSITIVITY,GI-DAE,GIDAE_T03,0.26300863598662644,3,1,4.0,False,False,False,False
M3_RANKREG_SENSITIVITY,GI-DAE,GIDAE_T02,0.159494756922699,4,3,2.0,False,False,False,False
M3_RANKREG_SENSITIVITY,GP-PGM,GPTRC_T01,0.9876919232885575,1,2,3.0,True,False,True,False
M3_RANKREG_SENSITIVITY,GP-PGM,GPTRC_T02,0.6184818241196635,2,3,2.0,False,False,True,False
M3_RANKREG_SENSITIVITY,GP-PGM,GPTRC_T03,0.3925489269270055,3,1,4.0,False,False,False,False
